Station_ID        Label   Longitude     Latitude             East            North               Up
       245         E4-3 116.7524928 -26.83386187  -1188.370778950  -1012.752359195     -0.191414065
       246         E4-4 116.7528935  -26.8337915  -1148.541774596  -1004.951611623     -0.182882838
       247         E4-5 116.7519148 -26.83370172  -1245.825924548   -995.013134267     -0.199565254
       248         E4-6 116.7522365 -26.83333486  -1213.852702681   -954.361598227     -0.187163028
       249         N1-1 116.7601497 -26.82900989   -427.290552517   -475.100021707     -0.032080638
       250         N1-2 116.7606991 -26.82898023   -372.677777826   -471.811938161     -0.028412891
       251         N1-3 116.7610568 -26.82891341   -337.120951004   -464.407226538     -0.025889750
       252         N1-4 116.7604849  -26.8287265   -393.971120343   -443.699089403     -0.027664653
       253         N1-5 116.7608437 -26.82863455   -358.304960498   -433.509890091     -0.024858787
       254         N1-6 116.7602443 -26.82831962   -417.889412707   -398.617217650     -0.026195110
       255         N2-1 116.7642049  -26.8323567    -24.184421636   -845.922243929     -0.056405087
       256         N2-2 116.7634234  -26.8323525   -101.866815472   -845.457268131     -0.057110242
       257         N2-3 116.7637745 -26.83221191    -66.966977278   -829.879538074     -0.054593177
       258         N2-4 116.7634227 -26.83203244   -101.936683132   -809.994337429     -0.052487596
       259         N2-5 116.7641982 -26.83189926    -24.850512521   -795.237488827     -0.049856269
       260         N2-6  116.763739 -26.83178841    -70.496002534   -782.955383735     -0.048670571
       261         N3-1  116.771122 -26.83354856    663.379792080   -977.998812155     -0.109807272
       262         N3-2 116.7707261 -26.83354453    624.027112767   -977.550277363     -0.105769292
       263         N3-3 116.7702908 -26.83336839    580.758924126   -958.031740806     -0.098710026
       264         N3-4 116.7708843 -26.83325587    639.753911561   -945.567275889     -0.102482022
       265         N3-5  116.770381 -26.83298091    589.726880035   -915.099023824     -0.093198596
       266         N3-6 116.7709195 -26.83279833    643.255406626   -894.871610982     -0.095485494
       267         N4-1 116.7793212 -26.83009728   1478.430067533   -595.663110429     -0.199175727
       268         N4-2 116.7791814 -26.82979154   1464.537373181   -561.785238484     -0.192884449
       269         N4-3 116.7795292 -26.82971812   1499.111011316   -553.654299457     -0.200197102
       270         N4-4 116.7788501 -26.82946553   1431.608963572   -525.659276616     -0.182319506
       271         N4-5 116.7795128 -26.82936374   1497.485446130   -514.388503089     -0.196512508
       272         N4-6 116.7791201 -26.82908633   1458.452945717   -483.646671279     -0.185057439
       273         S1-1 116.7703631 -26.82615138    587.982858490   -158.381250916     -0.029059438
       274         S1-2 116.7699892 -26.82591782    550.815685813   -132.500941756     -0.025150741
       275         S1-3 116.7696118 -26.82585567    513.299662101   -125.613091344     -0.021883303
       276         S1-4 116.7703549 -26.82583525    587.169350140   -123.353759627     -0.028207308
       277         S1-5 116.7700985 -26.82545142    561.683200266    -80.823934980     -0.025229623
       278         S1-6 116.7704838 -26.82537765    599.985366836    -72.651924081     -0.028616507
       279         S2-1  116.772083 -26.82189476    758.981431208    313.246347934     -0.052855777
       280         S2-2 116.7714744 -26.82176823    698.480805921    327.269456522     -0.046655441
       281         S2-3 116.7718145 -26.82163965    732.291276410    341.514297019     -0.051195437
       282         S2-4 116.7712388 -26.82140139    675.061773630    367.916866834     -0.046361054
       283         S2-5 116.7721587 -26.82131996    766.510694537    376.934146929     -0.057217545
       284         S2-6 116.7718594 -26.82104472    736.758677724    407.432707034     -0.055597890
       285         S3-1  116.769971 -26.81601882    549.054176272    964.315362452     -0.096855319
       286         S3-2 116.7696285 -26.81562856    515.005991604   1007.557850780     -0.100732889
       287         S3-3 116.7690852 -26.81555426    460.993444536   1015.792425351     -0.097915384
       288         S3-4 116.7701158 -26.81550478    563.452141313   1021.270682477     -0.107017075
       289         S3-5 116.7692767 -26.81523649    480.033007029   1051.000829151     -0.105050207
       290         S3-6 116.7697275 -26.81514361    524.850433648   1061.290206635     -0.110290099
       291         S4-1 116.7618649 -26.81117181   -256.832037966   1501.376271381     -0.182702475
       292         S4-2 116.7613392 -26.81110183   -309.097393322   1509.128922494     -0.186857845
       293         S4-3 116.7621652 -26.81092563   -226.976661302   1528.653723341     -0.188080540
       294         S4-4 116.7616863 -26.81074688   -274.589497975   1548.458375433     -0.194751078
       295         S4-5 116.7618862  -26.8104525   -254.715996507   1581.076256380     -0.201966728
       296         S4-6 116.7613224 -26.81043869   -310.769460665   1582.605156346     -0.204830843
       297         E5-1 116.7587488 -26.84394699   -566.472094192  -2130.150380165     -0.382513816
       298         E5-2 116.7593113 -26.84366272   -510.565633097  -2098.650576589     -0.367305449
       299         E5-3  116.758716 -26.84360499   -569.733848333  -2092.256563990     -0.370202347
       300         E5-4 116.7582899 -26.84348559   -612.085349062  -2079.028900771     -0.369777696
       301         E5-5 116.7590691 -26.84327509   -534.640142855  -2055.701759914     -0.355224025
       302         E5-6 116.7587759 -26.84296827   -563.783431548  -2021.707049596     -0.346814889
       303         E6-1 116.7717769 -26.84975404    728.373547920  -2773.586257585     -0.647442349
       304         E6-2 116.7721822 -26.84962038    768.655782719  -2758.778965331     -0.645714555
       305         E6-3 116.7717076  -26.8492535    721.489239963  -2718.125455961     -0.622672218
       306         E6-4 116.7723117 -26.84915399    781.529547507  -2707.103209910     -0.625032000
       307         E6-5 116.7713075 -26.84908174    681.725571684  -2699.092040963     -0.610180361
       308         E6-6 116.7720743  -26.8488616    757.937025192  -2674.704625574     -0.608453957
       309         E7-1 116.7906677 -26.84866896   2605.888047545  -2653.606197473     -1.086571173
       310         E7-2 116.7910262 -26.84854895   2641.521215244  -2640.316361890     -1.095678030
       311         E7-3 116.7903222 -26.84848215   2571.553923253  -2632.900393906     -1.064024218
       312         E7-4 116.7913485 -26.84839303   2673.557470310  -2623.046995856     -1.101858413
       313         E7-5 116.7906526 -26.84806248   2604.401178049  -2586.407219794     -1.058231155
       314         E7-6 116.7910011 -26.84790263   2639.041577601  -2568.702856550     -1.065272075
       315         E8-1 116.8116745  -26.8363453   4694.207211972  -1288.735780606     -1.857059686
       316         E8-2 116.8121999 -26.83616165   4746.438647984  -1268.406721029     -1.891594432
       317         E8-3 116.8112332  -26.8360942   4650.353070750  -1260.897425379     -1.819366255
       318         E8-4 116.8120439 -26.83577632   4730.948525021  -1225.705974434     -1.871705837
       319         E8-5 116.8116774 -26.83574934   4694.520038963  -1222.702961691     -1.844228507
       320         E8-6 116.8111896 -26.83568571   4646.035971132  -1215.634755572     -1.807393728
       321         E9-1 116.8261115 -26.81023238   6130.623033713   1603.979537852     -3.146980382
       322         E9-2 116.8264827 -26.80995352   6167.543159557   1634.859394412     -3.190427595
       323         E9-3  116.826081  -26.8097928   6127.614327088   1652.686703613     -3.156584306
       324         E9-4 116.8267997 -26.80959316   6199.079258873   1674.772031162     -3.231383519
       325         E9-5  116.826478 -26.80945514   6167.102844196   1690.080384270     -3.204463024
       326         E9-6 116.8260119 -26.80945385   6120.762516988   1690.245871385     -3.159898749
       327         S5-1 116.7491272 -26.81152597  -1523.211156817   1462.045857251     -0.350116221
       328         S5-2 116.7490547 -26.81109842  -1530.424834834   1509.417762773     -0.362928428
       329         S5-3 116.7496873 -26.81091406  -1467.533991986   1529.852420686     -0.353049490
       330         S5-4 116.7486614 -26.81087983  -1569.529808167   1533.632853711     -0.378228656
       331         S5-5 116.7492924 -26.81082273  -1506.796298599   1539.967209298     -0.364643432
       332         S5-6 116.7488724  -26.8105963  -1548.555958479   1565.050723357     -0.380772990
